filename,tumor,stroke
Tumor\yes\Y1.jpg,1,0
Tumor\yes\Y10.jpg,1,0
Tumor\yes\Y100.JPG,1,0
Tumor\yes\Y101.jpg,1,0
Tumor\yes\Y102.jpg,1,0
Tumor\yes\Y103.jpg,1,0
Tumor\yes\Y104.jpg,1,0
Tumor\yes\Y105.jpg,1,0
Tumor\yes\Y106.jpg,1,0
Tumor\yes\Y107.jpg,1,0
Tumor\yes\Y108.jpg,1,0
Tumor\yes\Y109.JPG,1,0
Tumor\yes\Y11.jpg,1,0
Tumor\yes\Y111.JPG,1,0
Tumor\yes\Y112.JPG,1,0
Tumor\yes\Y113.JPG,1,0
Tumor\yes\Y114.JPG,1,0
Tumor\yes\Y115.JPG,1,0
Tumor\yes\Y116.JPG,1,0
Tumor\yes\Y117.JPG,1,0
Tumor\yes\Y12.jpg,1,0
Tumor\yes\Y120.JPG,1,0
Tumor\yes\Y13.jpg,1,0
Tumor\yes\Y14.jpg,1,0
Tumor\yes\Y146.JPG,1,0
Tumor\yes\Y147.JPG,1,0
Tumor\yes\Y148.JPG,1,0
Tumor\yes\Y15.jpg,1,0
Tumor\yes\Y153.jpg,1,0
Tumor\yes\Y154.jpg,1,0
Tumor\yes\Y155.JPG,1,0
Tumor\yes\Y156.JPG,1,0
Tumor\yes\Y157.JPG,1,0
Tumor\yes\Y158.JPG,1,0
Tumor\yes\Y159.JPG,1,0
Tumor\yes\Y16.JPG,1,0
Tumor\yes\Y160.JPG,1,0
Tumor\yes\Y161.JPG,1,0
Tumor\yes\Y162.jpg,1,0
Tumor\yes\Y163.JPG,1,0
Tumor\yes\Y164.JPG,1,0
Tumor\yes\Y165.JPG,1,0
Tumor\yes\Y166.JPG,1,0
Tumor\yes\Y167.JPG,1,0
Tumor\yes\Y168.jpg,1,0
Tumor\yes\Y169.jpg,1,0
Tumor\yes\Y17.jpg,1,0
Tumor\yes\Y170.JPG,1,0
Tumor\yes\Y18.JPG,1,0
Tumor\yes\Y180.jpg,1,0
Tumor\yes\Y181.jpg,1,0
Tumor\yes\Y182.JPG,1,0
Tumor\yes\Y183.jpg,1,0
Tumor\yes\Y184.JPG,1,0
Tumor\yes\Y185.jpg,1,0
Tumor\yes\Y186.jpg,1,0
Tumor\yes\Y187.jpg,1,0
Tumor\yes\Y188.jpg,1,0
Tumor\yes\Y19.JPG,1,0
Tumor\yes\Y192.JPG,1,0
Tumor\yes\Y193.JPG,1,0
Tumor\yes\Y194.jpg,1,0
Tumor\yes\Y195.JPG,1,0
Tumor\yes\Y2.jpg,1,0
Tumor\yes\Y20.jpg,1,0
Tumor\yes\Y21.jpg,1,0
Tumor\yes\Y22.jpg,1,0
Tumor\yes\Y23.JPG,1,0
Tumor\yes\Y24.jpg,1,0
Tumor\yes\Y242.JPG,1,0
Tumor\yes\Y243.JPG,1,0
Tumor\yes\Y244.JPG,1,0
Tumor\yes\Y245.jpg,1,0
Tumor\yes\Y246.JPG,1,0
Tumor\yes\Y247.JPG,1,0
Tumor\yes\Y248.JPG,1,0
Tumor\yes\Y249.JPG,1,0
Tumor\yes\Y25.jpg,1,0
Tumor\yes\Y250.jpg,1,0
Tumor\yes\Y251.JPG,1,0
Tumor\yes\Y252.jpg,1,0
Tumor\yes\Y253.JPG,1,0
Tumor\yes\Y254.jpg,1,0
Tumor\yes\Y255.JPG,1,0
Tumor\yes\Y256.JPG,1,0
Tumor\yes\Y257.jpg,1,0
Tumor\yes\Y258.JPG,1,0
Tumor\yes\Y259.JPG,1,0
Tumor\yes\Y26.jpg,1,0
Tumor\yes\Y27.jpg,1,0
Tumor\yes\Y28.jpg,1,0
Tumor\yes\Y29.jpg,1,0
Tumor\yes\Y3.jpg,1,0
Tumor\yes\Y30.jpg,1,0
Tumor\yes\Y31.jpg,1,0
Tumor\yes\Y32.jpg,1,0
Tumor\yes\Y33.jpg,1,0
Tumor\yes\Y34.jpg,1,0
Tumor\yes\Y35.jpg,1,0
Tumor\yes\Y36.JPG,1,0
Tumor\yes\Y37.jpg,1,0
Tumor\yes\Y38.jpg,1,0
Tumor\yes\Y39.jpg,1,0
Tumor\yes\Y4.jpg,1,0
Tumor\yes\Y40.JPG,1,0
Tumor\yes\Y41.jpg,1,0
Tumor\yes\Y42.jpg,1,0
Tumor\yes\Y44.JPG,1,0
Tumor\yes\Y45.JPG,1,0
Tumor\yes\Y46.jpg,1,0
Tumor\yes\Y47.JPG,1,0
Tumor\yes\Y49.JPG,1,0
Tumor\yes\Y50.JPG,1,0
Tumor\yes\Y51.jpg,1,0
Tumor\yes\Y52.jpg,1,0
Tumor\yes\Y53.jpg,1,0
Tumor\yes\Y54.jpg,1,0
Tumor\yes\Y55.jpg,1,0
Tumor\yes\Y56.jpg,1,0
Tumor\yes\Y58.JPG,1,0
Tumor\yes\Y59.JPG,1,0
Tumor\yes\Y6.jpg,1,0
Tumor\yes\Y60.jpg,1,0
Tumor\yes\Y61.jpg,1,0
Tumor\yes\Y62.jpg,1,0
Tumor\yes\Y65.JPG,1,0
Tumor\yes\Y66.JPG,1,0
Tumor\yes\Y67.JPG,1,0
Tumor\yes\Y69.jpg,1,0
Tumor\yes\Y7.jpg,1,0
Tumor\yes\Y70.jpg,1,0
Tumor\yes\Y71.JPG,1,0
Tumor\yes\Y73.jpg,1,0
Tumor\yes\Y74.jpg,1,0
Tumor\yes\Y75.JPG,1,0
Tumor\yes\Y76.jpg,1,0
Tumor\yes\Y77.jpg,1,0
Tumor\yes\Y78.jpg,1,0
Tumor\yes\Y79.jpg,1,0
Tumor\yes\Y8.jpg,1,0
Tumor\yes\Y81.jpg,1,0
Tumor\yes\Y82.jpg,1,0
Tumor\yes\Y85.JPG,1,0
Tumor\yes\Y86.JPG,1,0
Tumor\yes\Y89.JPG,1,0
Tumor\yes\Y9.jpg,1,0
Tumor\yes\Y90.jpg,1,0
Tumor\yes\Y91.jpg,1,0
Tumor\yes\Y92.jpg,1,0
Tumor\yes\Y92.png,1,0
Tumor\yes\Y95.jpg,1,0
Tumor\yes\Y96.jpg,1,0
Tumor\yes\Y97.JPG,1,0
Tumor\yes\Y98.JPG,1,0
Tumor\yes\Y99.JPG,1,0
